-.Pregunta 1.1.-
[00:01:58.080 --> 00:02:00.080]   Una granja d'engreix.
[00:20:25.080 --> 00:20:28.080]   Llavors ja poden fer les seves decisions.
[00:20:28.080 --> 00:20:30.080]   Sí, sí. Bé, i llavors, fires,
[00:20:30.080 --> 00:20:32.080]   i si ha de venir un comercial,
[00:20:32.080 --> 00:20:34.080]   els tècnics en venen per altres llocs,
[00:20:34.080 --> 00:20:37.080]   però vull dir, el 90% de canvis que fem
[00:20:37.080 --> 00:20:39.080]   és perquè ens guien una mica.
[00:20:39.080 --> 00:20:41.080]   Sí, sí. D'acord.
-.Pregunta 6.3.-
[00:20:41.080 --> 00:20:43.080]   Llavors, sobre les decisions,
[00:20:43.080 --> 00:20:46.080]   s'ha de adoptar algunes decisions de forma automàtica?
[00:20:46.080 --> 00:20:49.080]   Basades, per exemple, en sensors, o solucions digitals,
[00:20:49.080 --> 00:20:51.080]   que hi ha de forma automàtica
[00:20:51.080 --> 00:20:54.080]   que la gent faci algun tipus de decisió?
[00:20:54.080 --> 00:20:57.080]   Per exemple, ventilació.
[00:20:57.080 --> 00:20:59.080]   Mira, hi ha un sensor d'això,
[00:20:59.080 --> 00:21:02.080]   que automàticament aixeca finestres, o baixa...
[00:21:02.080 --> 00:21:04.080]   Ah, no, això sí, això,
[00:21:04.080 --> 00:21:06.080]   per treballar, si m'agraden les decisions,
[00:21:06.080 --> 00:21:08.080]   de fer canvis de... no ho sé.
[00:21:08.080 --> 00:21:10.080]   Bueno, pot ser qualsevol.
[00:21:10.080 --> 00:21:12.080]   Alguna que tingui automatitzada,
[00:21:12.080 --> 00:21:14.080]   pot ser tant a nivell de granja, d'ascensor...
[00:21:14.080 --> 00:21:16.080]   Les ventilacions són automàtiques.
[00:21:16.080 --> 00:21:18.080]   La...
[00:21:18.080 --> 00:21:21.080]   L'enllumenat de la transició és automàtic,
[00:21:21.080 --> 00:21:24.080]   hi ha un interruptor que és el general
[00:21:24.080 --> 00:21:27.080]   per aixecar els ploms de la granja.
[00:21:27.080 --> 00:21:30.080]   Bueno, hi ha més, però pot regular,
[00:21:30.080 --> 00:21:32.080]   però bueno, sí, sí, bàsicament hi ha un interruptor,
[00:21:32.080 --> 00:21:34.080]   o sigui, hi ha una caixeta i et fa tot des de...
[00:21:34.080 --> 00:21:36.080]   Què més?
[00:21:36.080 --> 00:21:38.080]   Bueno, l'alimentació no és automàtica,
[00:21:38.080 --> 00:21:40.080]   és semi-automàtica, ja són perquè...
[00:21:40.080 --> 00:21:42.080]   No anem per...
[00:21:42.080 --> 00:21:44.080]   No per a donar menjar als animals.
[00:21:44.080 --> 00:21:46.080]   S'ha d'automatitzar més per fer-la millor,
[00:21:46.080 --> 00:21:48.080]   però ja és automàtica l'alimentació,
[00:21:48.080 --> 00:21:50.080]   ara mirem que funcioni.
[00:21:50.080 --> 00:21:53.080]   Bàsicament és la feina, és allò que caigui menjar.
[00:21:56.080 --> 00:21:59.080]   Bueno, per exemple, ara nosaltres tenim...
[00:21:59.080 --> 00:22:03.080]   Que no és automàtic, però...
[00:22:03.080 --> 00:22:05.080]   Els consums d'electricitat,
[00:22:05.080 --> 00:22:09.080]   el que no ho fem nosaltres, ho tenim subcontractat,
[00:22:09.080 --> 00:22:12.080]   hi ha una empresa que ens fa comparatives de preus.
[00:22:12.080 --> 00:22:16.080]   I canviant de companyia, depenent del preu de mercat.
[00:22:16.080 --> 00:22:18.080]   I si cada sis mesos canviem de companyia,
[00:22:18.080 --> 00:22:20.080]   canviem cada sis mesos.
[00:22:20.080 --> 00:22:22.080]   I més no ens entenem,
[00:22:22.080 --> 00:22:24.080]   jo entenc que ells controlen preus,
[00:22:24.080 --> 00:22:26.080]   però també fem...
[00:22:26.080 --> 00:22:28.080]   No és digitalització,
[00:22:28.080 --> 00:22:30.080]   entre cometes, digitalitzen ells,
[00:22:30.080 --> 00:22:32.080]   perquè nosaltres no fem res.
[00:22:32.080 --> 00:22:34.080]   Però si això el tenim,
[00:22:34.080 --> 00:22:36.080]   si alguna factura d'un altre vols donar,
[00:22:36.080 --> 00:22:38.080]   te'l donen a un d’endesa,
[00:22:38.080 --> 00:22:40.080]   si ve d'Agrinergia, no sé què,
[00:22:40.080 --> 00:22:42.080]   i si ve d'un altre lloc, d'un altre lloc.
[00:22:42.080 --> 00:22:44.080]   I canviem segons preus,
[00:22:44.080 --> 00:22:46.080]   i bàsicament per tarifes,
[00:22:46.080 --> 00:22:48.080]   que puguin anar sortint.
[00:22:50.080 --> 00:22:52.080]   De forma automàtica segons el preu.
-.Pregunta 6.4.-
[00:22:58.080 --> 00:23:00.080]   Bueno,
[00:23:00.080 --> 00:23:02.080]   pel funcionament del dia a dia,
[00:23:02.080 --> 00:23:04.080]   falta d'inversió.
[00:23:04.080 --> 00:23:06.080]   L'únic problema és que no es fa més,
[00:23:06.080 --> 00:23:08.080]   perquè si no ho tindries tot molt més automatitzat.
[00:23:08.080 --> 00:23:10.080]   Si fas alguna fira,
[00:23:10.080 --> 00:23:12.080]   has de netejar, hi ha robots
[00:23:12.080 --> 00:23:14.080]   que els programes et netejarien,
[00:23:14.080 --> 00:23:16.080]   o diuen que netejarien sols les granges.
[00:23:16.080 --> 00:23:18.080]   És un tema
[00:23:18.080 --> 00:23:20.080]   de ser i de voler invertir
[00:23:20.080 --> 00:23:22.080]   voler invertir tot el que fa falta.
[00:23:22.080 --> 00:23:24.080]   És el principal problema,
[00:23:24.080 --> 00:23:26.080]   perquè
[00:23:26.080 --> 00:23:28.080]   ja veig el problema humà d'assumir-ho,
[00:23:28.080 --> 00:23:30.080]   però si inverteixes ja l'assumiria.
[00:23:30.080 --> 00:23:32.080]   Jo crec que és el principal,
[00:23:32.080 --> 00:23:34.080]   és voler invertir.
[00:23:34.080 --> 00:23:36.080]   O poder invertir,
[00:23:36.080 --> 00:23:38.080]   no és que sempre voldries invertir,
[00:23:38.080 --> 00:23:40.080]   molt maco bastant,
[00:23:40.080 --> 00:23:42.080]   però la capacitat per fer-ho
[00:23:42.080 --> 00:23:44.080]   crec que és el principal.
[00:23:44.080 --> 00:23:46.080]   Està calc com a mínim.
[00:23:46.080 --> 00:23:48.080]   No està més automatitzat perquè no podem tenir-ho més.
-.Pregunta 6.5a.-
[00:23:56.080 --> 00:23:58.080]   De la d'invertir?
[00:24:02.080 --> 00:24:04.080]   En general, les decisions les prenem
[00:24:04.080 --> 00:24:06.080]   consensuades amb els costos
[00:24:06.080 --> 00:24:08.080]   de la granja.
-.Pregunta 6.5b.-
[00:24:18.080 --> 00:24:20.080]   Que nosaltres intentem recol·lectar la màxima informació,
[00:24:20.080 --> 00:24:22.080]   tenim
[00:24:22.080 --> 00:24:24.080]   el recolzament de Agrocat
[00:24:24.080 --> 00:24:26.080]   com a associació de cooperativa,
[00:24:26.080 --> 00:24:28.080]   però és més per donar informació
[00:24:28.080 --> 00:24:30.080]   que no per prendre una decisió.
[00:24:30.080 --> 00:24:32.080]   Les decisions les prenem amb els propietaris
[00:24:32.080 --> 00:24:34.080]   de la granja.
-.Pregunta 6.5c.-
[00:24:42.080 --> 00:24:44.080]   Sí.
[00:24:44.080 --> 00:24:46.080]   Si hi ha diferències,
[00:24:46.080 --> 00:24:48.080]   vols dir a l'hora de la presa de la decisió?
[00:24:50.080 --> 00:24:52.080]   Com es prenen?
[00:24:52.080 --> 00:24:54.080]   Les estratègies són 100% mancomunades
[00:24:54.080 --> 00:24:56.080]   És a dir, si haguéssim de fer una altra granja
[00:24:56.080 --> 00:24:58.080]   o canviar d'integrador
[00:24:58.080 --> 00:25:00.080]   o el que fos,
[00:25:00.080 --> 00:25:02.080]   seria totalment
[00:25:02.080 --> 00:25:04.080]   mancomunat
[00:25:04.080 --> 00:25:06.080]   O fer una inversió importantíssima
[00:25:06.080 --> 00:25:08.080]   Les operatives,
[00:25:08.080 --> 00:25:10.080]   tot i ser-ho, són menys, perquè al final
[00:25:10.080 --> 00:25:12.080]   cadascú pren
[00:25:12.080 --> 00:25:14.080]   les decisions que podem
[00:25:14.080 --> 00:25:16.080]   prendre i que entenem que no ha de prendre l'altra,
[00:25:16.080 --> 00:25:18.080]   que ho tenim
[00:25:18.080 --> 00:25:20.080]   protocol·litzat, però al final el dia a dia
[00:25:20.080 --> 00:25:22.080]   et porta a dir que cadascú ja sap
[00:25:22.080 --> 00:25:24.080]   les seves funcions, podem ser
[00:25:24.080 --> 00:25:26.080]   més independents.
[00:25:26.080 --> 00:25:28.080]   Mantenim una bona relació, la veritat és que tot ho prenem bastant
[00:25:28.080 --> 00:25:30.080]   en comú, inclús si prens una decisió
[00:25:30.080 --> 00:25:32.080]   l'acabes explicant i si no hi estàs d'acord
[00:25:32.080 --> 00:25:34.080]   s'intentaria revertir.
[00:25:34.080 --> 00:25:36.080]   Però sí, sí, clar,
[00:25:36.080 --> 00:25:38.080]   les operacions
[00:25:38.080 --> 00:25:40.080]   operatives del dia a dia,
[00:25:40.080 --> 00:25:42.080]   que entenc que és el que vols dir,
[00:25:42.080 --> 00:25:44.080]   són més independents.
[00:25:46.080 --> 00:25:48.080]   A més, perquè no ho faríem
[00:25:48.080 --> 00:25:50.080]   diferent, la nostra forma de treballar
[00:25:50.080 --> 00:25:52.080]   ens ha anat bé fins ara, voldria seguir fent així.
[00:25:52.080 --> 00:25:54.080]   No, no.
-.Pregunta 6.6.-
[00:26:10.080 --> 00:26:12.080]   El que...
[00:26:12.080 --> 00:26:14.080]   No recordo...
[00:26:14.080 --> 00:26:16.080]   Nosaltres fem estadístiques
[00:26:16.080 --> 00:26:18.080]   de la granja
[00:26:18.080 --> 00:26:22.080]   amb el CIP,
[00:26:22.080 --> 00:26:24.080]   amb el sistema de CIP,
[00:26:24.080 --> 00:26:26.080]   CIP Consultors, que fa
[00:26:26.080 --> 00:26:28.080]   les estadístiques, i a més a més tenim
[00:26:28.080 --> 00:26:30.080]   un programa
[00:26:30.080 --> 00:26:32.080]   a la transició que ens dona
[00:26:32.080 --> 00:26:34.080]   informació de
[00:26:34.080 --> 00:26:36.080]   consums,
[00:26:36.080 --> 00:26:38.080]   de...
[00:26:38.080 --> 00:26:40.080]   Hi ha coses que has d'entrar manualment,
[00:26:40.080 --> 00:26:42.080]   però hi ha coses que et donen
[00:26:42.080 --> 00:26:44.080]   els sensors, els inventadors,
[00:26:44.080 --> 00:26:46.080]   i tot, que et donen informació de l'estat
[00:26:46.080 --> 00:26:48.080]   de creixement,
[00:26:48.080 --> 00:26:50.080]   de la llum
[00:26:50.080 --> 00:26:52.080]   que has gastat, del pinso,
[00:26:52.080 --> 00:26:54.080]   de l'aigua, una mica...
[00:26:54.080 --> 00:26:56.080]   Aquest programa, per prendre decisions
[00:26:56.080 --> 00:26:58.080]   tant a l'engreix com a la transició, va molt bé,
[00:26:58.080 --> 00:27:00.080]   perquè saps, una mica,
[00:27:00.080 --> 00:27:02.080]   no et dona només el cost com el CIP,
[00:27:02.080 --> 00:27:04.080]   que és el cost del quilo, que sí que hi ha
[00:27:04.080 --> 00:27:06.080]   associats, però vull dir, aquest et dona...
[00:27:06.080 --> 00:27:08.080]   És que me'n recordo el nom.
[00:27:08.080 --> 00:27:10.080]   Sí, això ens ho vas
[00:27:10.080 --> 00:27:12.080]   facilitar, Cargi, la veritat,
[00:27:12.080 --> 00:27:14.080]   per part del Taito, no? Ens facilita...
[00:27:20.080 --> 00:27:22.080]   Ah, has d'entrar els consums
[00:27:22.080 --> 00:27:24.080]   manualment als comptadors. Ah, has d'entrar els consums, i llavors...
[00:27:24.080 --> 00:27:26.080]   Cada dos dies o cada tres dies
[00:27:26.080 --> 00:27:28.080]   està protocol·litzat, has d'entrar els consums, i llavors
[00:27:28.080 --> 00:27:30.080]   et fa estadístiques per setmanes
[00:27:30.080 --> 00:27:32.080]   del que gastes... I el preu fica
[00:27:32.080 --> 00:27:34.080]   corresponent. De la factura, sí, llavors
[00:27:34.080 --> 00:27:36.080]   es valida al cap del mes.
[00:27:36.080 --> 00:27:38.080]   Sí, sí, es fan unes estimacions amb la informació
[00:27:38.080 --> 00:27:40.080]   que té, i al cap del mes es valida.
[00:27:40.080 --> 00:27:42.080]   Però, si canvien, bueno, poden canviar preus,
[00:27:42.080 --> 00:27:44.080]   i llavors has d'entrar inform... O sigui, tens com uns
[00:27:44.080 --> 00:27:46.080]   calendaris per entrar informació.
[00:27:46.080 --> 00:27:48.080]   Hi ha informació que ja saps, per exemple, el consum de pinso,
[00:27:48.080 --> 00:27:50.080]   com que ja els alimentadors ja el saben, el consum de l'aigua
[00:27:50.080 --> 00:27:52.080]   igual que la llum, has d'entrar als registres,
[00:27:52.080 --> 00:27:54.080]   el creixement, com que
[00:27:54.080 --> 00:27:56.080]   tots els animals, a la transició,
[00:27:56.080 --> 00:27:58.080]   els pesem per les proves, els sabem perfectes,
[00:27:58.080 --> 00:28:00.080]   i també s'entren. Llavors, això
[00:28:00.080 --> 00:28:02.080]   es fa com una imatge...
[00:28:04.080 --> 00:28:06.080]   Un a un sí, sí.
[00:28:06.080 --> 00:28:08.080]   És molta feina. És una feinada de por.
[00:28:08.080 --> 00:28:10.080]   Sí, sí, sí. Bueno, com que fem proves,
[00:28:10.080 --> 00:28:12.080]   també ens ho compensen i fem aquesta
[00:28:12.080 --> 00:28:14.080]   feina. Ens deixen pesar tots els
[00:28:14.080 --> 00:28:16.080]   animals. Déu-n'hi-do.
[00:28:16.080 --> 00:28:18.080]   A l'entrada i a la sortida. A l'entrada i a la sortida.
[00:28:18.080 --> 00:28:20.080]   Sí, sí, sí. Déu-n'hi-do.
-.Pregunta 6.7.-
[00:28:24.080 --> 00:28:26.080]   Això, bé, ha anat canviant,
[00:28:26.080 --> 00:28:28.080]   ho vam posar fa...
[00:28:28.080 --> 00:28:30.080]   fa 10 o 12 anys que fem proves,
[00:28:30.080 --> 00:28:32.080]   fa 5 o 6.
[00:28:32.080 --> 00:28:34.080]   Sí, sí. Ha anat canviant,
[00:28:34.080 --> 00:28:36.080]   cada cop millor.
[00:28:36.080 --> 00:28:38.080]   Al principi era molt rudimentari,
[00:28:38.080 --> 00:28:40.080]   era un panell amb uns...
[00:28:40.080 --> 00:28:42.080]   els consums i els pesos i no sé què,
[00:28:42.080 --> 00:28:44.080]   ara és bastanta més informació,
[00:28:44.080 --> 00:28:46.080]   estima el creixement dels garrins
[00:28:46.080 --> 00:28:48.080]   per dia, et diu quan els hauries de canviar de corral
[00:28:48.080 --> 00:28:50.080]   perquè són més grans o són més petits.
[00:28:50.080 --> 00:28:52.080]   Bàsicament amb estadística.
[00:28:56.080 --> 00:28:58.080]   Sí, sí. Més operatives, més precisions
[00:28:58.080 --> 00:29:00.080]   per treballar.
[00:29:00.080 --> 00:29:02.080]   Normalment et donen informació
[00:29:02.080 --> 00:29:04.080]   dels consums i d'això que sí que va bé
[00:29:04.080 --> 00:29:06.080]   per si alguna cosa que es desmarxa
[00:29:06.080 --> 00:29:08.080]   ho veus.
-.Pregunta 6.8.-
[00:29:18.080 --> 00:29:20.080]   És el mateix programa que ha anat
[00:29:20.080 --> 00:29:22.080]   millorant. 
-.Pregunta 6.9.-
[00:29:34.080 --> 00:29:36.080]   No, no, no.
[00:29:36.080 --> 00:29:38.080]   Primer que és molt senzill entendre-ho
[00:29:38.080 --> 00:29:40.080]   i després, en principi, si la informació
[00:29:40.080 --> 00:29:42.080]   està ben entrada, concretament
[00:29:42.080 --> 00:29:44.080]   totes les sistemes de validació,
[00:29:44.080 --> 00:29:46.080]   per exemple, has de mirar, pots
[00:29:46.080 --> 00:29:48.080]   comprovar les factures, per exemple,
[00:29:48.080 --> 00:29:50.080]   de consums de pins o de consums de què,
[00:29:50.080 --> 00:29:52.080]   quan surten els garrins.
[00:29:52.080 --> 00:29:54.080]   Tot el que diu el programa es pot comprovar
[00:29:54.080 --> 00:29:56.080]   quan surten els...
[00:29:56.080 --> 00:29:58.080]   quan tens la informació allà
[00:29:58.080 --> 00:30:00.080]   com la real, no? Doncs,
[00:30:00.080 --> 00:30:02.080]   en principi són programes bastant
[00:30:02.080 --> 00:30:04.080]   bastant fidels
[00:30:04.080 --> 00:30:06.080]   i que tenen informació bastant fidedigna.
[00:30:10.080 --> 00:30:12.080]   Molt fàcil. Va. Llavors...
[00:30:12.080 --> 00:30:14.080]   És molt intuïtiu, a més a més.
[00:30:14.080 --> 00:30:16.080]   No has de ser...
[00:30:16.080 --> 00:30:18.080]   Per exemple, et diu quan has de canviar els garrins,
[00:30:18.080 --> 00:30:20.080]   quan hauries de canviar els garrins de
[00:30:20.080 --> 00:30:22.080]   corral, no? Pel creixement i pel no sé què.
[00:30:22.080 --> 00:30:24.080]   I t'ho diu.
[00:30:24.080 --> 00:30:26.080]   Corral 1, sala no sé què, ensenya-me...
[00:30:26.080 --> 00:30:28.080]   Si saps llegir, quasi...
[00:30:34.080 --> 00:30:36.080]   No en tinc ni idea. Diria que és...
[00:30:36.080 --> 00:30:38.080]   Que és comercial? No, diria que és específic de Cargill
[00:30:38.080 --> 00:30:40.080]   perquè ens el van facilitar ells, però...
[00:30:40.080 --> 00:30:42.080]   És que no me'n recordo del nom. Us el diria...
[00:30:42.080 --> 00:30:44.080]   Us el podria dir?
[00:30:44.080 --> 00:30:46.080]   Sí.
[00:30:50.080 --> 00:30:56.080]   Pregunto el que hi ha...
[00:30:56.080 --> 00:31:14.080]   Si em respon us ho diré.
[00:31:14.080 --> 00:31:16.080]   És que no sé si és un programa...
[00:31:16.080 --> 00:31:18.080]   Ens el van facilitar ells, entenem que és de Cargill.
[00:31:18.080 --> 00:31:20.080]   Us enganyo, la veritat és que no en tinc ni idea.
-.Pregunta 6.10.-

[00:31:42.080 --> 00:31:44.080]   Sí, per exemple...
[00:31:44.080 --> 00:31:46.080]   Sí, sí, per valorar
[00:31:46.080 --> 00:31:48.080]   algun altre granja, si ho hem fet.
[00:31:48.080 --> 00:31:50.080]   Per exemple,
[00:31:50.080 --> 00:31:52.080]   fa granjes pròpies i fan proves
[00:31:52.080 --> 00:31:54.080]   amb certs programes,
[00:31:54.080 --> 00:31:56.080]   amb eines que donen
[00:31:56.080 --> 00:31:58.080]   informació.
[00:31:58.080 --> 00:32:00.080]   No ho sé,
[00:32:00.080 --> 00:32:02.080]   fas alguna fira, no?
[00:32:02.080 --> 00:32:04.080]   Fira Saragossa, o fira Lleida, vull dir
[00:32:04.080 --> 00:32:06.080]   que hi ha veus coses.
[00:32:06.080 --> 00:32:08.080]   Llavors,
[00:32:08.080 --> 00:32:10.080]   abans de fer cap canvi, sí que intentem
[00:32:10.080 --> 00:32:12.080]   mirar una mica com està
[00:32:12.080 --> 00:32:14.080]   la cosa.
[00:32:14.080 --> 00:32:16.080]   Sí, bé, hem dit
[00:32:16.080 --> 00:32:18.080]   des de la informació del proveïdor mateix
[00:32:18.080 --> 00:32:20.080]   en una fira o que truques
[00:32:20.080 --> 00:32:22.080]   a veure alguna granja, dir "ho veieu ho ha fet,
[00:32:22.080 --> 00:32:24.080]   hosti, doncs m'ho mirava com ho ha fet i a veure com va
[00:32:24.080 --> 00:32:26.080]   i ho fem".
[00:32:26.080 --> 00:32:28.080]   No ho sé, sí, sí, això sí que
[00:32:28.080 --> 00:32:30.080]   ho fem. Abans de fer cap canvi, intentem
[00:32:30.080 --> 00:32:32.080]   anar-los a validar
[00:32:32.080 --> 00:32:34.080]   alguna cosa, si realment funciona o no, que et diguin
[00:32:34.080 --> 00:32:36.080]   "no, no, no, sé que una llet d'índies
[00:32:36.080 --> 00:32:38.080]   que ho siguin nosaltres, preferir que ho siguin
[00:32:38.080 --> 00:32:40.080]   nosaltres, la veritat".
[00:32:40.080 --> 00:32:42.080]   A veure si podem provar...
[00:32:42.080 --> 00:32:44.080]   No, posem això que funciona.
[00:32:44.080 --> 00:32:46.080]   Intentem anar a veure abans.
-.Pregunta 6.11a.-
[00:33:10.080 --> 00:33:12.080]   Seria, en un món ideal,
[00:33:12.080 --> 00:33:14.080]   seria tot únic.
[00:33:14.080 --> 00:33:16.080]   Tot funcionaria a través d'una sola
[00:33:16.080 --> 00:33:18.080]   aplicació. Perquè ara pots tenir
[00:33:18.080 --> 00:33:20.080]   coses que totes les coses tenen
[00:33:20.080 --> 00:33:22.080]   el seu programa, no?
[00:33:22.080 --> 00:33:24.080]   Tampoc en tens tantes,
[00:33:24.080 --> 00:33:26.080]   al final pots tenir un o dos programes,
[00:33:26.080 --> 00:33:28.080]   no tens tanta dificultat. Però el món ideal
[00:33:28.080 --> 00:33:30.080]   seria que jo ara hagués un portàtil o al mòbil
[00:33:30.080 --> 00:33:32.080]   i ho veiés tot.
[00:33:32.080 --> 00:33:34.080]   O sigui,
[00:33:34.080 --> 00:33:36.080]   l'evolució del món hauria d'anar
[00:33:36.080 --> 00:33:38.080]   a través d'una eina
[00:33:38.080 --> 00:33:40.080]   i tu t'hi integressis
[00:33:40.080 --> 00:33:42.080]   tot el que posessis.
-.Pregunta 6.11b.-
[00:33:58.080 --> 00:34:00.080]   És una gran pregunta.
[00:34:00.080 --> 00:34:02.080]   És una grandíssima pregunta. Qui ho hauria de fer?
[00:34:04.080 --> 00:34:06.080]   És una opinió, però...
[00:34:06.080 --> 00:34:08.080]   És una opinió que no sé si té...
[00:34:08.080 --> 00:34:10.080]   I ara no és per quedar bé, però jo diria que això
[00:34:10.080 --> 00:34:12.080]   ho hauria de fer una empresa de software per coneixement
[00:34:12.080 --> 00:34:16.080]   que hi hagués al darrere
[00:34:16.080 --> 00:34:18.080]   algú del sector.
[00:34:18.080 --> 00:34:20.080]   O sigui, és a dir, tu no pots fer una aplicació
[00:34:20.080 --> 00:34:22.080]   que funcioni si no saps com funciona
[00:34:22.080 --> 00:34:24.080]   el món. I algú del sector
[00:34:24.080 --> 00:34:26.080]   no sé si ha de ser la universitat
[00:34:26.080 --> 00:34:28.080]   o valls companys. Per dir alguna cosa que són grans
[00:34:28.080 --> 00:34:30.080]   ho podríem pagar per dir alguna cosa.
[00:34:30.080 --> 00:34:32.080]   Algú que conegués com funciona.
[00:34:32.080 --> 00:34:34.080]   Perquè si no pots fer una cosa molt prèvia
[00:34:34.080 --> 00:34:36.080]   que se sap res per res, ningú la posarà
[00:34:36.080 --> 00:34:38.080]   ningú la farà servir.
[00:34:38.080 --> 00:34:42.080]   Però això també...
[00:34:42.080 --> 00:34:44.080]   No ho sé.
[00:34:52.080 --> 00:34:54.080]   Integrar-ho tot en un sol lloc
[00:34:54.080 --> 00:34:56.080]   seria una cosa fantàstica.
[00:34:56.080 --> 00:34:58.080]   Que tu obrissis, tinguessis les estadístiques
[00:34:58.080 --> 00:35:00.080]   del CIP, els consums
[00:35:00.080 --> 00:35:02.080]   de llum, el creixement dels animals
[00:35:02.080 --> 00:35:04.080]   no sé què...
[00:35:04.080 --> 00:35:06.080]   I tinguessis tot
[00:35:06.080 --> 00:35:08.080]   parametritzat, que t'ho ensenyés ràpid, fàcil
[00:35:08.080 --> 00:35:10.080]   que veiessis...
[00:35:10.080 --> 00:35:12.080]   Fantàstic. Si això ho feu, ho vendreu.
[00:35:12.080 --> 00:35:14.080]   Això segur.
[00:35:14.080 --> 00:35:16.080]   Llavors, allà darrere no ho sé, però
[00:35:16.080 --> 00:35:18.080]   si fes això i es fes una mica
[00:35:18.080 --> 00:35:20.080]   bé, ostres, seria
[00:35:20.080 --> 00:35:22.080]   acollonant.
-.Pregunta 6.12a.-
[00:35:34.080 --> 00:35:36.080]   No.
[00:35:36.080 --> 00:35:38.080]   Utilitzem el SIP Consultors, però és un tema
[00:35:38.080 --> 00:35:40.080]   pels costos
[00:35:40.080 --> 00:35:42.080]   i és l'únic que utilitzem.
[00:35:42.080 --> 00:35:44.080]   La resta és tot bastant consum intern
[00:35:44.080 --> 00:35:46.080]   i ens ho mirem nosaltres i ens mirem de no
[00:35:46.080 --> 00:35:48.080]   entrar-ho nosaltres.
[00:35:48.080 --> 00:35:50.080]   Al final, no deixem de ser una empresa
[00:35:50.080 --> 00:35:52.080]   més o menys petita com per anar demanant
[00:35:52.080 --> 00:35:54.080]   a tercers, a veure amb quin servei.
[00:35:54.080 --> 00:35:56.080]   I a part del SIP
[00:35:56.080 --> 00:35:58.080]   no fem servir pas ningú
[00:35:58.080 --> 00:36:00.080]   tant per analitzar dades.
-.Pregunta 6.12b.-
[00:36:04.080 --> 00:36:06.080]   No.
[00:36:06.080 --> 00:36:08.080]   Entrem al programa, els donem informació.
[00:36:08.080 --> 00:36:10.080]   És un estadístic
[00:36:10.080 --> 00:36:12.080]   que és molt bona eina. És relativament
[00:36:12.080 --> 00:36:14.080]   senzill.
[00:36:14.080 --> 00:36:16.080]   No dic que m'atrevís a fer-ho, però no deixa de ser
[00:36:16.080 --> 00:36:18.080]   un Excel que quan entres a un cost
[00:36:18.080 --> 00:36:20.080]   ells tenen la seva fórmula per dir que tant
[00:36:20.080 --> 00:36:22.080]   consum és aquesta conversió.
[00:36:24.080 --> 00:36:26.080]   No és...
[00:36:26.080 --> 00:36:28.080]   És més la feina de fer-ho i que ho van millorant
[00:36:28.080 --> 00:36:30.080]   i que cada cop tenen...
[00:36:32.080 --> 00:36:34.080]   Tenen molta informació
[00:36:34.080 --> 00:36:36.080]   i la poden fer... La mitja és important.
[00:36:36.080 --> 00:36:38.080]   Tu no la podries tenir.
[00:36:38.080 --> 00:36:40.080]   Però no, és una feina
[00:36:40.080 --> 00:36:42.080]   de...
[00:36:42.080 --> 00:36:44.080]   És saber fer servir bé l'Excel
[00:36:44.080 --> 00:36:46.080]   i ser una mica llest de com funciona
[00:36:46.080 --> 00:36:48.080]   el que vols saber.
[00:36:48.080 --> 00:36:50.080]   Si no dic que sigui fàcil, a veure,
[00:36:50.080 --> 00:36:52.080]   sembla que és una feinada de por.
[00:36:52.080 --> 00:36:54.080]   Però no és...
[00:36:56.080 --> 00:36:58.080]   No, jo crec que no.
[00:36:58.080 --> 00:37:00.080]   És més la feina de tenir
[00:37:00.080 --> 00:37:02.080]   molta informació
[00:37:02.080 --> 00:37:04.080]   i de tenir els quatre
[00:37:04.080 --> 00:37:06.080]   paràmetres que et donen ben
[00:37:06.080 --> 00:37:08.080]   comptats i que la gent se'n fia
[00:37:08.080 --> 00:37:10.080]   perquè suposo que estan ben comptats.
[00:37:10.080 --> 00:37:12.080]   Però
[00:37:12.080 --> 00:37:14.080]   inclús tenen errors.
[00:37:14.080 --> 00:37:16.080]   Nosaltres
[00:37:16.080 --> 00:37:18.080]   a l’engreix treballem
[00:37:18.080 --> 00:37:20.080]   bé, les mares
[00:37:20.080 --> 00:37:22.080]   treballen a bandes.
[00:37:22.080 --> 00:37:24.080]   Costa molt buidar
[00:37:24.080 --> 00:37:26.080]   els engreixos. Sempre
[00:37:26.080 --> 00:37:28.080]   entren animals perquè entren de cop.
[00:37:28.080 --> 00:37:30.080]   Com que no fem buidatge...
[00:37:30.080 --> 00:37:32.080]   Intentem fer buidatges per temes sanitaris, per netejar
[00:37:32.080 --> 00:37:34.080]   bé, però costa molt.
[00:37:34.080 --> 00:37:36.080]   Per exemple, això del CIP, si les conversions
[00:37:36.080 --> 00:37:38.080]   ens es calcula molt malament perquè sempre hi ha animals,
[00:37:38.080 --> 00:37:40.080]   sempre hi ha pesos i llavors com que
[00:37:40.080 --> 00:37:42.080]   sempre has de portar pinso perquè
[00:37:42.080 --> 00:37:44.080]   com que aquesta redona, les conversions
[00:37:44.080 --> 00:37:46.080]   es calculen molt malament. Com que ho sabem
[00:37:46.080 --> 00:37:48.080]   ja ho assumim, ja ho... Ells ho tenen detectat
[00:37:48.080 --> 00:37:50.080]   i ho calculen bé.
[00:37:50.080 --> 00:37:52.080]   Que si inclús té coses que fallen,
[00:37:52.080 --> 00:37:54.080]   sabent...
