-.Pregunta 1.1.-
[00:01:55.800 --> 00:02:03.280]   -Producció porcina.
-.Pregunta 5.2.-
[00:30:20.640 --> 00:30:22.640]   -He portat idea de posar sensors a totes les sitges
[00:30:22.640 --> 00:30:24.640]   per mirar el pinso.
[00:30:28.640 --> 00:30:30.640]   -La logística de depòsits .
[00:30:34.640 --> 00:30:36.640]   -En principi,
[00:30:36.640 --> 00:30:38.640]   ens decantem més per bàscula.
[00:30:42.640 --> 00:30:44.640]   -Ens dóna la sensació aquesta.
[00:30:46.640 --> 00:30:48.640]   -És més car, però més fiable.
-.Pregunta 5.3.-
[00:31:08.640 --> 00:31:10.640]   -Encara no en conec.
[00:31:14.640 --> 00:31:16.640]   -Així a fons, no.
[00:31:16.640 --> 00:31:18.640]   Però entenc que és la via.
[00:31:18.640 --> 00:31:20.640]   A dia d’avui, la intel·ligència artificial,
[00:31:20.640 --> 00:31:22.640]   a poc a poc,
[00:31:22.640 --> 00:31:24.640]   està entrant per tot.
[00:31:24.640 --> 00:31:26.640]   La potència que té això és
[00:31:26.640 --> 00:31:28.640]   infinita.
-.Pregunta 6.1.-
[00:31:50.640 --> 00:31:56.640]   -Diria que és un equilibri de tots.
[00:31:56.640 --> 00:32:00.640]   Realment,
[00:32:00.640 --> 00:32:02.640]   les empreses
[00:32:02.640 --> 00:32:04.640]   ens movem en termes econòmics.
[00:32:04.640 --> 00:32:08.640]   Al final, la viabilitat de les empreses
[00:32:08.640 --> 00:32:10.640]   si no sabem guanyar calers.
[00:32:10.640 --> 00:32:12.640]   No invertim,
[00:32:12.640 --> 00:32:14.640]   ni reinvertim, ni res.
[00:32:14.640 --> 00:32:16.640]   Però,
[00:32:16.640 --> 00:32:18.640]   moltes decisions
[00:32:18.640 --> 00:32:20.640]   que hi ha a nivell sectorial,
[00:32:20.640 --> 00:32:22.640]   que hi ha molta gent que critica,
[00:32:22.640 --> 00:32:24.640]   la repercussió econòmica,
[00:32:24.640 --> 00:32:26.640]   jo entenc que són les vies
[00:32:26.640 --> 00:32:28.640]   per les quals hem d'anar.
[00:32:28.640 --> 00:32:30.640]   Parlo del benestar animal,
[00:32:30.640 --> 00:32:34.640]   de la desmedicalització,
[00:32:34.640 --> 00:32:40.640]   que cada vegada hi ha més controls
[00:32:40.640 --> 00:32:42.640]   de purins,
[00:32:42.640 --> 00:32:44.640]   més ben aplicats,
[00:32:44.640 --> 00:32:46.640]   menys contaminació,
[00:32:46.640 --> 00:32:52.640]   i cada vegada veig
[00:32:52.640 --> 00:32:54.640]   que estem més amb les energies solars, per fer energia
[00:32:54.640 --> 00:33:00.640]   que hi ha d'haver un equilibri
[00:33:00.640 --> 00:33:02.640]   perquè anem cap aquí sí o sí.
-.Pregunta 6.2a.-
[00:33:10.640 --> 00:33:12.640]   -Totes.
-.Pregunta 6.2b.-
[00:33:22.640 --> 00:33:30.640]   -Portes diferents barrets.
[00:33:30.640 --> 00:33:36.640]   Jo dic que són àrees funcionals
[00:33:36.640 --> 00:33:38.640]   de l'empresa.
[00:33:38.640 --> 00:33:40.640]   Llavors,
[00:33:40.640 --> 00:33:42.640]   hi ha un control econòmic mensual,
[00:33:42.640 --> 00:33:44.640]   hi ha els pressupostos anuals,
[00:33:44.640 --> 00:33:46.640]   hi ha les desviacions,
[00:33:46.640 --> 00:33:48.640]   hi ha els quadres de tresoreria,
[00:33:48.640 --> 00:33:50.640]   ho vas portant tal...
[00:33:50.640 --> 00:33:56.640]   Quan normalment ja
[00:33:56.640 --> 00:34:00.640]   fas com a estratègies
[00:34:00.640 --> 00:34:02.640]   tu internes,
[00:34:02.640 --> 00:34:04.640]   jo dic que a vegades faig
[00:34:04.640 --> 00:34:06.640]   coneixent-me el sector,
[00:34:06.640 --> 00:34:08.640]   pressupostos en base a zero.
[00:34:08.640 --> 00:34:10.640]   Això, què vol dir?
[00:34:10.640 --> 00:34:12.640]   Per exemple, dic que avaluo
[00:34:12.640 --> 00:34:14.640]   un paràmetre.
[00:34:14.640 --> 00:34:16.640]   Quan pagaré un integrat d'engreix?
[00:34:16.640 --> 00:34:18.640]   Hi ha uns preus de mercat,
[00:34:18.640 --> 00:34:20.640]   però després
[00:34:20.640 --> 00:34:22.640]   tu veus una sèrie de coses
[00:34:22.640 --> 00:34:24.640]   que depenen de tu
[00:34:24.640 --> 00:34:26.640]   i pots avaluar-les.
[00:34:26.640 --> 00:34:28.640]   Si entra un garrí més gran,
[00:34:28.640 --> 00:34:30.640]   si aconsegueixo
[00:34:30.640 --> 00:34:32.640]   menys dies
[00:34:32.640 --> 00:34:34.640]   de la granja no parada, els punts econòmics de
[00:34:34.640 --> 00:34:36.640]   si mato estratègicament
[00:34:36.640 --> 00:34:38.640]   a 125 quilos
[00:34:38.640 --> 00:34:40.640]   o mato a 115.
[00:34:40.640 --> 00:34:42.640]   Quan fas
[00:34:42.640 --> 00:34:44.640]   un pressupost
[00:34:44.640 --> 00:34:46.640]   base zero,
[00:34:46.640 --> 00:34:48.640]   tu avalues
[00:34:48.640 --> 00:34:50.640]   tots els factors
[00:34:50.640 --> 00:34:52.640]   per una sola cosa,
[00:34:52.640 --> 00:34:54.640]   per entendre quin econòmicament
[00:34:54.640 --> 00:34:56.640]   te pot ajudar a millorar
[00:34:56.640 --> 00:34:58.640]   quant te dona cada un.
[00:34:58.640 --> 00:35:00.640]   Al final,
[00:35:00.640 --> 00:35:02.640]   tu intentes treure
[00:35:02.640 --> 00:35:04.640]   la major rendibilitat d'alguna cosa.
[00:35:04.640 --> 00:35:08.640]   Però coneixent bé
[00:35:08.640 --> 00:35:10.640]   de tot el que depèn.
[00:35:10.640 --> 00:35:12.640]   No sé
[00:35:12.640 --> 00:35:14.640]   si estic contestant a la pregunta
[00:35:14.640 --> 00:35:16.640]   que me’n he anat a lo econòmic.
[00:35:54.640 --> 00:35:56.640]   -Jo et diria que al final
[00:35:56.640 --> 00:35:58.640]   és una mica combinació de tot.
[00:35:58.640 --> 00:36:00.640]   Tornem al que deia.
[00:36:00.640 --> 00:36:02.640]   Per exemple,
[00:36:02.640 --> 00:36:04.640]   Amb SIP
[00:36:04.640 --> 00:36:06.640]   et pot donar una visió
[00:36:06.640 --> 00:36:08.640]   de quins mitjans del sector, quins rangs,
[00:36:08.640 --> 00:36:10.640]   de costos,
[00:36:10.640 --> 00:36:12.640]   garrins, truja i any,
[00:36:12.640 --> 00:36:14.640]   per saber tu més o menys
[00:36:14.640 --> 00:36:16.640]   on estàs
[00:36:16.640 --> 00:36:18.640]   i on són els teus rangs de millora.
[00:36:18.640 --> 00:36:20.640]   Si, per exemple,
[00:36:20.640 --> 00:36:22.640]   et venen veterinaris consultors
[00:36:22.640 --> 00:36:24.640]   a nivell de patologia, manejos...
[00:36:24.640 --> 00:36:26.640]   Les empreses
[00:36:26.640 --> 00:36:28.640]   han d'estar obertes contínuament.
[00:36:28.640 --> 00:36:30.640]   Si et donen visita
[00:36:30.640 --> 00:36:32.640]   d'una empresa comercial
[00:36:32.640 --> 00:36:34.640]   que distribueix un programa
[00:36:34.640 --> 00:36:36.640]   estàs a escoltar-los
[00:36:36.640 --> 00:36:38.640]   per veure
[00:36:38.640 --> 00:36:40.640]   si et pot interessar o no
[00:36:40.640 --> 00:36:42.640]   el que t'estan oferint. Quan vas a fires...
[00:36:42.640 --> 00:36:48.640]   A nivell informàtic
[00:36:48.640 --> 00:36:50.640]   lògicament vull dir
[00:36:50.640 --> 00:36:52.640]   no només d'economia.
[00:36:52.640 --> 00:36:54.640]   Quan jo miro els nivells productius
[00:36:54.640 --> 00:36:56.640]   de la granja
[00:36:56.640 --> 00:36:58.640]   tu t'estàs avaluant en aquell programa
[00:36:58.640 --> 00:37:00.640]   molts tipus de corbes.
[00:37:00.640 --> 00:37:02.640]   Si les races es comporten igual,
[00:37:02.640 --> 00:37:04.640]   si és primer, segon cicle,
[00:37:04.640 --> 00:37:06.640]   tercer, on tens
[00:37:06.640 --> 00:37:08.640]   els errors, els dies no productius...
[00:37:08.640 --> 00:37:12.640]   Pots passar molta estona
[00:37:12.640 --> 00:37:14.640]   mirant paràmetres
[00:37:14.640 --> 00:37:16.640]   per veure
[00:37:18.640 --> 00:37:20.640]   Quan tanques cries d’engreix
[00:37:20.640 --> 00:37:22.640]   per dies d’estància,
[00:37:22.640 --> 00:37:24.640]   velocitat de creixement,
[00:37:24.640 --> 00:37:26.640]   percentatge de baixes,
[00:37:26.640 --> 00:37:28.640]   despesa de medicaments per port...
[00:37:42.640 --> 00:37:46.640]   Hauria de primer mirar el software.
[00:37:50.640 --> 00:37:52.640]   Primer intento conèixer
[00:37:52.640 --> 00:37:54.640]   què em passen les dades.
[00:37:54.640 --> 00:37:58.640]   I sobre els dubtes que tens
[00:37:58.640 --> 00:38:00.640]   és quan intentes
[00:38:00.640 --> 00:38:02.640]   parlar una mica amb els tècnics
[00:38:02.640 --> 00:38:04.640]   per veure
[00:38:04.640 --> 00:38:06.640]   què veuen ells, què es pot fer.
-.Pregunta 6.3.-
[00:38:46.640 --> 00:38:48.640]   Avui dia a la granja de truges
[00:38:48.640 --> 00:38:50.640]   ja tenim
[00:38:50.640 --> 00:38:52.640]   el que és
[00:38:52.640 --> 00:38:54.640]   el dositrònic,
[00:38:54.640 --> 00:38:56.640]   que és de rotecna
[00:38:56.640 --> 00:38:58.640]   la tolva, el dosificador
[00:38:58.640 --> 00:39:00.640]   que està intel·ligent.
[00:39:00.640 --> 00:39:06.640]   A truges dic
[00:39:06.640 --> 00:39:08.640]   que ho penso
[00:39:08.640 --> 00:39:10.640]   i ho avaluo.
[00:39:10.640 --> 00:39:12.640]   Tantes menjades al dia,
[00:39:12.640 --> 00:39:14.640]   segons el dia de lactació,
[00:39:14.640 --> 00:39:16.640]   fins a tants quilos de pinso,
[00:39:16.640 --> 00:39:18.640]   ja pot menjar el libitum...
[00:39:18.640 --> 00:39:22.640]   Llavors, aquí cada cop intervé
[00:39:22.640 --> 00:39:24.640]    menys la persona.
[00:39:24.640 --> 00:39:26.640]   És la mateixa màquina
[00:39:26.640 --> 00:39:28.640]   i les parametritzacions
[00:39:28.640 --> 00:39:30.640]   que li fiquen
[00:39:42.640 --> 00:39:44.640]   Per exemple,
[00:39:44.640 --> 00:39:46.640]   a Engreixos
[00:39:46.640 --> 00:39:48.640]   hi ha tot el tema
[00:39:48.640 --> 00:39:50.640]   de temperatures.
[00:39:50.640 --> 00:39:52.640]   De pinsos
[00:39:52.640 --> 00:39:54.640]   hi ha vegades que també està automatitzat
[00:39:54.640 --> 00:39:56.640]   perquè s'emplenin soles.
[00:39:56.640 --> 00:39:58.640]   Tot el tema
[00:39:58.640 --> 00:40:00.640]   de temperatures, controls ambientals,
[00:40:00.640 --> 00:40:02.640]   que tu pots fer corbes
[00:40:02.640 --> 00:40:04.640]   a llocs
[00:40:04.640 --> 00:40:06.640]   de les finestres.
[00:40:06.640 --> 00:40:08.640]   Ja no va ningú a les xemeneies .
[00:40:08.640 --> 00:40:10.640]   Les mantes de temperatura
[00:40:10.640 --> 00:40:12.640]   dels garrins de la granja de mares.
-.Pregunta 6.4.-
[00:40:22.640 --> 00:40:28.640]   Jo crec que més un altre.
[00:40:28.640 --> 00:40:30.640]   Els que ho frenen.
[00:40:38.640 --> 00:40:40.640]   Crec que has de conèixer
[00:40:40.640 --> 00:40:42.640]   bastant el sector.
[00:40:42.640 --> 00:40:48.640]   Necessito que em faci
[00:40:48.640 --> 00:40:50.640]   la màquina és això.
[00:40:50.640 --> 00:40:58.640]   És com una decisió manual.
[00:40:58.640 --> 00:41:00.640]   Tu avalues
[00:41:00.640 --> 00:41:02.640]   tots els paràmetres
[00:41:02.640 --> 00:41:04.640]   i sobre allò que has vist decideixes.
[00:41:06.640 --> 00:41:08.640]   Aquí tens les dades
[00:41:08.640 --> 00:41:10.640]   i ara dius
[00:41:10.640 --> 00:41:12.640]   el que s'ha de fer.
[00:41:24.640 --> 00:41:26.640]   Crec que sí.
[00:41:26.640 --> 00:41:28.640]   Estem una mica encallats al passat.
[00:41:28.640 --> 00:41:30.640]   Quan veus
[00:41:30.640 --> 00:41:32.640]   la potència
[00:41:32.640 --> 00:41:34.640]   de la intel·ligència artificial
[00:41:34.640 --> 00:41:36.640]   que ens dona
[00:41:36.640 --> 00:41:38.640]   moltes voltes al cap d'una persona.-.Pregunta 6.5a.-
[00:42:02.640 --> 00:42:06.640]   Col·legiada.
-.Pregunta 6.5c.-
[00:42:50.640 --> 00:42:54.640]   Tot va lligat
[00:42:54.640 --> 00:42:56.640]   en el sentit de dir...
[00:42:58.640 --> 00:43:00.640]   Les operatives són el dia a dia
[00:43:00.640 --> 00:43:06.640]   i tenim un sector molt suspensiu.
[00:43:06.640 --> 00:43:10.640]   És molt repetitiu.
[00:43:12.640 --> 00:43:14.640]   Per exemple,
[00:43:14.640 --> 00:43:16.640]   jo faig una reunió operativa setmanal
[00:43:16.640 --> 00:43:20.640]   on fiques tota la feina de la següent setmana
[00:43:20.640 --> 00:43:22.640]   de carrers, viatges de pinso... tota la logística 
[00:43:24.640 --> 00:43:26.640]   perquè saps si hi haurà gent de vacances...
[00:43:26.640 --> 00:43:32.640]   És com un dia a dia molt rutinari.
[00:43:32.640 --> 00:43:36.640]   Hi ha empreses
[00:43:36.640 --> 00:43:38.640]   que aquesta setmana estan fent la cuina
[00:43:38.640 --> 00:43:40.640]   i d'aquí un mes estan fent
[00:43:40.640 --> 00:43:42.640]   un bany.
[00:43:42.640 --> 00:43:44.640]   Una teulada.
[00:43:44.640 --> 00:43:46.640]   Nosaltres no.
[00:43:46.640 --> 00:43:48.640]   Els components de la setmana són els mateixos.
[00:43:48.640 --> 00:43:50.640]   S'ha d'inseminar,
[00:43:50.640 --> 00:43:52.640]   s'ha d'atendre parts, s’ha de carregar animals a engreix
[00:43:52.640 --> 00:43:54.640]   s'ha de portar a pinso...
[00:43:54.640 --> 00:43:58.640]   Són 52 setmanes iguals.
[00:43:58.640 --> 00:44:02.640]   Llavors, vull dir, és molt fàcil
[00:44:02.640 --> 00:44:04.640]   programar.
[00:44:06.640 --> 00:44:08.640]   Jo et diria a nivell estratègic
[00:44:08.640 --> 00:44:10.640]   que, encara que
[00:44:10.640 --> 00:44:12.640]   et fiquis unes línies,
[00:44:12.640 --> 00:44:16.640]   moltes vegades no portes tu el cotxe.
[00:44:20.640 --> 00:44:22.640]   Venen situacions
[00:44:22.640 --> 00:44:24.640]   que tu no domines.
[00:44:24.640 --> 00:44:28.640]   Llavors, et deixen arribar.
[00:44:28.640 --> 00:44:32.640]   Sempre ens hem de posar fites.
[00:44:32.640 --> 00:44:34.640]   Estratègiques.
[00:44:34.640 --> 00:44:38.640]   Tu has de tenir almenys un horitzó.
[00:44:40.640 --> 00:44:44.640]   Però veig que cada vegada és més inestable tot.
[00:44:48.640 --> 00:44:50.640]   Per exemple, els preus de pinso,
[00:44:50.640 --> 00:44:54.640]   les pandèmies...
[00:44:54.640 --> 00:44:56.640]   Cada any vas pensant "i aquest any a veure..."
[00:45:02.640 --> 00:45:04.640]   Per on sortirà el tema?
[00:45:08.640 --> 00:45:10.640]   Però bé, les estratègies
[00:45:10.640 --> 00:45:12.640]   jo crec que van més
[00:45:12.640 --> 00:45:14.640]   en intentar entendre el sector
[00:45:14.640 --> 00:45:16.640]   cap a on anem
[00:45:16.640 --> 00:45:18.640]   i de quina manera
[00:45:18.640 --> 00:45:20.640]   tu et vas adaptant
[00:45:20.640 --> 00:45:22.640]   a aquestes noves realitats.
[00:45:22.640 --> 00:45:24.640]   Cada vegada hi ha més
[00:45:24.640 --> 00:45:26.640]   concentració i més verticalització.
[00:45:26.640 --> 00:45:28.640]   Això no ho farem.
[00:45:28.640 --> 00:45:32.640]   Des de producció
[00:45:32.640 --> 00:45:34.640]   acaben entrant més a les càrniques
[00:45:34.640 --> 00:45:36.640]   i al revés.
[00:45:36.640 --> 00:45:38.640]   Cada vegada hi ha menys
[00:45:38.640 --> 00:45:40.640]   actors al sector.
-.Pregunta 6.6.-
[00:45:58.640 --> 00:46:02.640]   Ara et diré alguna barbaritat.
[00:46:04.640 --> 00:46:06.640]   Et diré el Microsoft Excel.
[00:46:12.640 --> 00:46:14.640]   S'ha...
[00:46:14.640 --> 00:46:16.640]   T'ho dic en el sentit de dir
[00:46:16.640 --> 00:46:20.640]   que, per exemple,
[00:46:20.640 --> 00:46:22.640]   les eines informàtiques
[00:46:22.640 --> 00:46:24.640]   normalment que et venen
[00:46:24.640 --> 00:46:26.640]   o donen
[00:46:26.640 --> 00:46:28.640]   no són obertes.
[00:46:38.640 --> 00:46:40.640]   M'has escoltat fort?
[00:46:42.640 --> 00:46:44.640]   Sí.
[00:46:44.640 --> 00:46:46.640]   Et dic que les eines
[00:46:46.640 --> 00:46:48.640]   normalment informàtiques
[00:46:48.640 --> 00:46:50.640]   o són tancades
[00:46:50.640 --> 00:46:52.640]   i no són obertes
[00:46:52.640 --> 00:46:54.640]   o en el cas que siguin obertes ja són
[00:46:54.640 --> 00:46:56.640]   llenguatges de programació
[00:46:56.640 --> 00:46:58.640]   per gent que no saben...
[00:46:58.640 --> 00:47:02.640]   Llavors jo, per exemple,
[00:47:02.640 --> 00:47:04.640]   dir
[00:47:04.640 --> 00:47:06.640]   a nivell comptable o coses d'aquestes
[00:47:06.640 --> 00:47:08.640]   el que faig és, per exemple,
[00:47:08.640 --> 00:47:10.640]   treure uns sumes i saldos
[00:47:10.640 --> 00:47:12.640]   i tens
[00:47:12.640 --> 00:47:14.640]   la comptabilitat ja estructurada
[00:47:14.640 --> 00:47:16.640]   amb els números comptables
[00:47:16.640 --> 00:47:18.640]   per poder fer comptabilitat analítica
[00:47:18.640 --> 00:47:20.640]   al final el que fas
[00:47:20.640 --> 00:47:22.640]   és ho mous al més.
[00:47:22.640 --> 00:47:24.640]   Per què?
[00:47:24.640 --> 00:47:26.640]   Perquè a partir d'allà
[00:47:26.640 --> 00:47:28.640]   jo sí que tinc
[00:47:28.640 --> 00:47:30.640]   capacitat de dir
[00:47:30.640 --> 00:47:32.640]   aquest any voldria avaluar
[00:47:32.640 --> 00:47:34.640]   o canviem
[00:47:34.640 --> 00:47:36.640]   aquest negoci, canviarà la forma
[00:47:36.640 --> 00:47:38.640]   de fer, no?
[00:47:38.640 --> 00:47:40.640]   En el sentit de dir que quan són molt tancats
[00:47:40.640 --> 00:47:42.640]   és molt difícil
[00:47:42.640 --> 00:47:44.640]   anar fent canvis
[00:47:44.640 --> 00:47:46.640]   quan veus que l'empresa és una cosa viva
[00:47:46.640 --> 00:47:48.640]   i estàs contínuament
[00:47:48.640 --> 00:47:50.640]   dient "ara això ja no ho faré"
[00:47:50.640 --> 00:47:52.640]   "ara faré això"
[00:47:52.640 --> 00:47:54.640]   o "ara m'acabaria d'avaluar una altra cosa"
[00:47:54.640 --> 00:47:58.640]   Però el que et dona una eina
[00:47:58.640 --> 00:48:00.640]   que saps manejar és
[00:48:00.640 --> 00:48:02.640]   que tu te la pots
[00:48:02.640 --> 00:48:04.640]   anar adequant constantment
[00:48:04.640 --> 00:48:06.640]   a la teva manera
-.Pregunta 6.7.-
[00:48:12.640 --> 00:48:16.640]   Ui, molts anys
[00:48:16.640 --> 00:48:20.640]   Han desenvolupat
[00:48:20.640 --> 00:48:22.640]   moltes eines
-.Pregunta 6.8.-
[00:48:28.640 --> 00:48:32.640]   Jo diria que sí, però bé
[00:48:32.640 --> 00:48:34.640]   Tu ho fas tu
[00:48:34.640 --> 00:48:38.640]   Jo no vull dir
[00:48:38.640 --> 00:48:40.640]   quin nivell tinc
[00:48:40.640 --> 00:48:42.640]   a dia d'avui amb l'excel
[00:48:42.640 --> 00:48:44.640]   però vull dir que acabes fent coses
[00:48:44.640 --> 00:48:46.640]   penso ja de bon nivell
-.Pregunta 6.9.-
[00:49:32.640 --> 00:49:36.640]   Totalment necessiten interpretació
[00:49:36.640 --> 00:49:40.640]   perquè al final
[00:49:40.640 --> 00:49:42.640]   les màquines són tontes
[00:49:42.640 --> 00:49:46.640]   Contínuament estàs aquí corregint
[00:49:46.640 --> 00:49:50.640]   perquè al final hi ha un tecleig humà
[00:49:50.640 --> 00:49:52.640]   de moltes coses
[00:49:52.640 --> 00:49:56.640]   En lloc de posar quilos fiques tones
[00:49:56.640 --> 00:49:58.640]   i després tanques un engreix
[00:49:58.640 --> 00:50:00.640]   i dius
[00:50:00.640 --> 00:50:02.640]   "ha sortit una conversió de 15"
[00:50:02.640 --> 00:50:04.640]   "això no existeix"
[00:50:04.640 --> 00:50:08.640]   o "falta un viatge de porcs per apuntar"
[00:50:08.640 --> 00:50:12.640]   Llavors, contínuament
[00:50:12.640 --> 00:50:14.640]   quan fas els costos
[00:50:14.640 --> 00:50:16.640]   enviem a SIP les dades
[00:50:16.640 --> 00:50:18.640]   i et diuen
[00:50:18.640 --> 00:50:20.640]   "escolta, m'està sortint el semen molt"
[00:50:20.640 --> 00:50:22.640]   "s'havia posat un 0 de més"
[00:50:24.640 --> 00:50:26.640]   Estàs constantment arreglant
[00:50:26.640 --> 00:50:28.640]   i interpretant el que està sortint
[00:50:28.640 --> 00:50:30.640]   I que l'error no ve
[00:50:30.640 --> 00:50:32.640]   sempre del mateix lloc
[00:50:32.640 --> 00:50:36.640]   Quan tu busques l'error
[00:50:36.640 --> 00:50:38.640]   et toca mirar-ho
[00:50:38.640 --> 00:50:40.640]   de diverses maneres fins que dius
[00:50:40.640 --> 00:50:42.640]   "mira, aquí està"
[00:50:42.640 --> 00:50:44.640]   Ja l'intueixes per la dada que dius
[00:50:44.640 --> 00:50:46.640]   "això sembla dels paràmetres, no por ser"
[00:50:56.640 --> 00:51:00.640]   "aquest mes has tingut un 30% de baixes a la transició"
[00:51:00.640 --> 00:51:02.640]   i dius "hòstia, no"
[00:51:02.640 --> 00:51:04.640]   "serà normal"
[00:51:04.640 --> 00:51:06.640]   "ah sí, que no em vaig acordar de posar una sala"
[00:51:06.640 --> 00:51:12.640]   Hi ha molta presa de dades
[00:51:12.640 --> 00:51:14.640]   que és manual
-.Pregunta 6.10.-
[00:51:28.640 --> 00:51:34.640]   Vas a xerrades
[00:51:34.640 --> 00:51:36.640]   i  tot
[00:51:36.640 --> 00:51:38.640]   vas un dia a dinar amb algú
[00:51:38.640 --> 00:51:40.640]   que té relació amb gent del sector
[00:51:40.640 --> 00:51:42.640]   i tu com fas això?
-.Pregunta 6.11a.-
[00:52:40.640 --> 00:52:42.640]   Ara no m'imagino coses de dir
[00:52:42.640 --> 00:52:48.640]   Jo per exemple faig un pressupost anual
[00:52:48.640 --> 00:52:54.640]   Per exemple, mentre una Rosalia la granja
[00:52:54.640 --> 00:52:56.640]   jo el pressupost
[00:52:56.640 --> 00:52:58.640]   jo no ho havia avaluat
[00:52:58.640 --> 00:53:02.640]   Has de refer
[00:53:02.640 --> 00:53:04.640]   totalment
[00:53:04.640 --> 00:53:06.640]   el pressupost, veure si tinc
[00:53:06.640 --> 00:53:08.640]   les pensions de tresoreria, per que igual no hi ha
[00:53:08.640 --> 00:53:10.640]   els ingressos esperats
[00:53:10.640 --> 00:53:12.640]   pots temporitzar
[00:53:12.640 --> 00:53:14.640]   i el que et vull dir
[00:53:14.640 --> 00:53:16.640]   en aquest exemple
[00:53:16.640 --> 00:53:18.640]   és que
[00:53:18.640 --> 00:53:20.640]   estàs contínuament
[00:53:20.640 --> 00:53:22.640]   valorant
[00:53:22.640 --> 00:53:26.640]   perquè és flexible
[00:53:26.640 --> 00:53:28.640]   i és indefinit
[00:53:28.640 --> 00:53:30.640]   cap on et porta
[00:53:30.640 --> 00:53:34.640]   No sé si m'entens
[00:53:34.640 --> 00:53:36.640]   si crec que moltes coses
[00:53:36.640 --> 00:53:38.640]   no són
[00:53:38.640 --> 00:53:40.640]   desviacions immediates
[00:53:40.640 --> 00:53:44.640]   també són desviacions petites
[00:53:44.640 --> 00:53:46.640]   que a poc a poc
[00:53:46.640 --> 00:53:48.640]   i a vegades
[00:53:48.640 --> 00:53:50.640]   et dic un exemple
[00:53:50.640 --> 00:53:52.640]   vam canviar
[00:53:52.640 --> 00:53:54.640]   de raça de truja
[00:53:54.640 --> 00:53:58.640]   el primer any
[00:53:58.640 --> 00:54:00.640]   no vam detectar
[00:54:00.640 --> 00:54:02.640]   que era una truja
[00:54:02.640 --> 00:54:04.640]   que es moria molt
[00:54:04.640 --> 00:54:06.640]   perquè dins de la població
[00:54:06.640 --> 00:54:08.640]   representava un percentatge baix
[00:54:08.640 --> 00:54:10.640]   de la població
[00:54:10.640 --> 00:54:14.640]   i el segon any ens vam posar les mans al cap
[00:54:16.640 --> 00:54:20.640]   Llavors, jo què penso?
[00:54:20.640 --> 00:54:22.640]   tan de bo, ja el primer any
[00:54:22.640 --> 00:54:24.640]   ja m'hagués dit
[00:54:24.640 --> 00:54:26.640]   para ja
[00:54:30.640 --> 00:54:32.640]   amb el porc
[00:54:32.640 --> 00:54:34.640]   i moltes vegades
[00:54:34.640 --> 00:54:36.640]   penso
[00:54:36.640 --> 00:54:38.640]   Tan de bo hi hagués eines
[00:54:38.640 --> 00:54:40.640]   aquestes
[00:54:40.640 --> 00:54:42.640]   que et poguessin fer 
[00:54:42.640 --> 00:54:44.640]   els autos abans
-.Pregunta 6.11b.-
[00:55:10.640 --> 00:55:12.640]   Jo crec que
[00:55:12.640 --> 00:55:14.640]   ara és una combinació
[00:55:14.640 --> 00:55:16.640]   està clar
[00:55:16.640 --> 00:55:18.640]   el sector perquè les necessita
[00:55:18.640 --> 00:55:20.640]   pot conèixer
[00:55:20.640 --> 00:55:22.640]   més bé la demanda de lo que necessita
[00:55:22.640 --> 00:55:26.640]   Entenc que les empreses
[00:55:26.640 --> 00:55:28.640]   informàtiques perquè són les que
[00:55:28.640 --> 00:55:30.640]   saben fer-ho
[00:55:30.640 --> 00:55:34.640]   i les universitats
[00:55:34.640 --> 00:55:36.640]   jo entenc que esteu allà
[00:55:36.640 --> 00:55:38.640]   en principi sou sempre la bandera
[00:55:38.640 --> 00:55:40.640]   de totes aquestes coses
[00:55:40.640 --> 00:55:44.640]   i més d'ell
[00:55:44.640 --> 00:55:46.640]   d'aquestes evolucions
[00:55:46.640 --> 00:55:50.640]   jo veig que
[00:55:50.640 --> 00:55:52.640]   per moltes coses
[00:55:52.640 --> 00:55:54.640]   a nivell científic i tal
[00:55:56.640 --> 00:55:58.640]   Nosaltres som una empresa
[00:55:58.640 --> 00:56:00.640]   de genètica que venem truges
[00:56:00.640 --> 00:56:06.640]   i jo veig que quasi tot
[00:56:06.640 --> 00:56:08.640]   el que és marcador genètic
[00:56:08.640 --> 00:56:10.640]   al final són les universitats
[00:56:10.640 --> 00:56:12.640]   les que estan fent totes aquestes
[00:56:12.640 --> 00:56:14.640]   investigacions, les deteccions
[00:56:14.640 --> 00:56:18.640]   al final és un triangle
[00:56:22.640 --> 00:56:24.640]   on cadascú aporta
[00:56:24.640 --> 00:56:26.640]   la seva part
-.Pregunta 6.12a.-
[00:56:44.640 --> 00:56:46.640]   crec que m'havíeu comentat SIP consultors
[00:56:46.640 --> 00:56:50.640]   és bàsicament
[00:56:50.640 --> 00:56:52.640]   l'econòmic
[00:56:52.640 --> 00:56:54.640]   però bé
[00:56:54.640 --> 00:56:56.640]   si et ve un veterinari
[00:56:56.640 --> 00:56:58.640]   et consultarà les dades
[00:56:58.640 --> 00:57:00.640]   productives de la granja, mirarà el software
-.Pregunta 6.12b.-
[00:57:10.640 --> 00:57:12.640]   sí
[00:57:20.640 --> 00:57:22.640]   vaig estar treballant una anyets dits
[00:57:26.640 --> 00:57:28.640]   vaig ajudar a generar eines
[00:57:32.640 --> 00:57:34.640]   d'allà ve
[00:57:34.640 --> 00:57:36.640]   on vaig aprendre
